City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
650,Ulladulla,AU,80.1,light rain,-35.35,150.4667,Sandpiper Motel
654,Morant Bay,JM,82.02,overcast clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
657,Betong,TH,89.33,overcast clouds,5.7743,101.0723,New Cathay Hotel
658,Antalaha,MG,76.86,broken clouds,-14.9003,50.2788,Hotel Vitasoa
660,Hervey Bay,AU,82.04,scattered clouds,-25.2986,152.8535,Shelly Bay Resort
662,Vao,NC,70.02,scattered clouds,-22.6667,167.4833,Hotel Kou-Bugny
664,Gossas,SN,77.0,broken clouds,14.4912,-16.0642,Mosqué gossas escale
666,Saint-Georges,GD,80.28,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
669,Manzanillo,CU,74.8,overcast clouds,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
673,Kalmunai,LK,80.47,overcast clouds,7.4167,81.8167,VS Villa
678,Port-Gentil,GA,78.4,moderate rain,-0.7193,8.7815,Fengshui Residence
681,Zhuhai,CN,85.86,few clouds,22.2769,113.5678,Nanyang Seascape Hotel Zhuhai Hotel
