City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
240,Zaterechnyy,RU,44.7931,45.2097,42.62,75,100,5.91,overcast clouds
241,Impfondo,CG,1.6381,18.0667,72.03,82,100,2.13,overcast clouds
242,Margate,GB,51.3813,1.3862,51.66,83,37,1.01,scattered clouds
243,Yuanping,CN,38.7153,112.7575,41.18,64,100,0.87,overcast clouds
244,Qidong,CN,31.8128,121.6561,71.04,58,100,11.68,overcast clouds
245,Beberibe,BR,-4.1797,-38.1306,82.44,75,100,15.97,overcast clouds
246,Juneau,US,58.3019,-134.4197,26.65,90,90,5.75,overcast clouds
247,Mount Isa,AU,-20.7333,139.5,96.57,21,3,12.66,clear sky
248,Boa Vista,BR,2.8197,-60.6733,84.18,61,0,8.05,clear sky
249,Road Town,VG,18.4167,-64.6167,79.0,66,14,16.15,few clouds
250,Svetlyy,RU,54.675,20.1347,50.05,76,100,26.75,overcast clouds
251,Soldotna,US,60.4878,-151.0583,0.95,85,1,3.44,clear sky
252,Palembang,ID,-2.9167,104.7458,78.89,83,20,6.91,few clouds
253,Port Lincoln,AU,-34.7333,135.8667,60.46,58,40,14.0,scattered clouds
254,Bowen,AU,-20.0167,148.2333,80.73,57,0,12.57,clear sky
255,Cuamba,MZ,-14.8031,36.5372,71.04,57,11,3.98,few clouds
256,Petersburg,US,37.2279,-77.4019,39.74,71,0,5.59,clear sky
257,Portland,US,45.5234,-122.6762,48.7,88,75,1.01,broken clouds
258,Lata,PT,40.1629,-8.3327,56.91,77,74,6.89,broken clouds
259,Olafsvik,IS,64.8945,-23.7142,34.54,73,75,18.12,broken clouds
260,Port-Gentil,GA,-0.7193,8.7815,78.28,82,100,1.5,moderate rain
261,Kerema,PG,-7.9631,145.7785,87.71,63,100,6.76,overcast clouds
262,La Union,PE,-5.4,-80.75,66.69,80,99,15.82,overcast clouds
263,Kralendijk,BQ,12.15,-68.2667,80.58,83,20,9.22,few clouds
264,Raudeberg,NO,61.9875,5.1352,43.86,89,100,7.0,overcast clouds
265,Grand Gaube,MU,-20.0064,57.6608,76.37,71,0,7.0,clear sky
266,Ada,US,43.4166,-116.1262,45.05,85,90,1.99,overcast clouds
267,Tasiilaq,GL,65.6145,-37.6368,24.96,73,100,5.08,overcast clouds
268,Cham,DE,49.245,12.6825,43.59,98,100,2.8,overcast clouds
269,Maningrida,AU,-12.0667,134.2667,91.74,56,56,14.83,broken clouds
270,Natal,BR,-5.795,-35.2094,79.45,83,40,6.91,scattered clouds
271,Constitucion,CL,-35.3333,-72.4167,52.32,93,29,1.41,scattered clouds
272,Betioky,MG,-23.7167,44.3833,75.88,55,98,3.67,overcast clouds
273,Dmitrov,RU,56.35,37.5167,34.45,98,100,11.05,light snow
274,Roma,US,43.2128,-75.4557,37.26,87,1,3.44,clear sky
275,Victoria,HK,22.2855,114.1577,78.04,73,47,8.99,scattered clouds
276,Banjar,ID,-8.19,114.9675,84.06,95,100,2.93,overcast clouds
277,Mar Del Plata,AR,-38.0023,-57.5575,58.08,92,0,1.01,clear sky
278,Havoysund,NO,70.9963,24.6622,36.48,97,100,30.09,overcast clouds
279,Beidao,CN,34.5686,105.8933,44.65,70,100,5.64,overcast clouds
280,Porto Velho,BR,-8.7619,-63.9039,77.05,88,40,0.0,scattered clouds
281,Avarua,CK,-21.2078,-159.775,78.85,78,75,14.97,broken clouds
282,Beni Suef,EG,29.0731,31.0979,59.67,77,2,3.06,clear sky
283,Iqaluit,CA,63.7506,-68.5145,26.33,73,90,10.0,overcast clouds
284,Mulege,MX,26.8833,-111.9833,66.67,68,58,0.81,broken clouds
285,Menongue,AO,-14.6585,17.691,64.89,81,81,2.84,broken clouds
286,Seoul,KR,37.5683,126.9778,52.21,63,31,0.89,scattered clouds
287,Port Blair,IN,11.6667,92.75,82.87,77,87,10.25,heavy intensity rain
288,Cayenne,GF,4.9333,-52.3333,82.09,85,0,5.01,clear sky
289,Mirpur Khas,PK,25.5251,69.0159,65.05,15,0,9.84,clear sky
290,Khotynets,RU,53.1286,35.3966,37.49,97,100,19.42,light rain
291,Abomsa,ET,9.9833,39.9833,65.71,35,5,6.69,clear sky
292,Mpulungu,ZM,-8.7623,31.1141,73.06,68,11,1.92,few clouds
293,Batemans Bay,AU,-35.7167,150.1833,63.99,96,100,10.36,light rain
294,Bloomingdale,US,27.8936,-82.2404,71.51,80,90,5.01,overcast clouds
295,Saint-Augustin,CA,51.226,-58.6502,37.78,88,100,12.17,overcast clouds
296,Ndioum,SN,16.5129,-14.6471,83.75,27,75,10.49,broken clouds
297,Charlestown,AU,-32.95,151.6667,88.21,55,100,4.07,overcast clouds
298,Abu Samrah,SY,35.3029,37.1841,55.24,87,100,6.67,overcast clouds
299,Alakurtti,RU,66.9672,30.3491,20.62,94,100,4.03,light snow
300,Tacoronte,ES,28.4769,-16.4102,58.75,74,0,4.0,clear sky
301,Ingham,US,42.6,-84.3833,34.0,77,1,0.0,clear sky
302,Qaqortoq,GL,60.7167,-46.0333,28.9,74,100,16.87,light snow
303,Fereydunshahr,IR,32.941,50.121,30.34,79,2,4.05,clear sky
